IND_ID,IND_CODE,IND_UUID,IND_PER_CODE,DIM_TIME,DIM_TIME_TYPE,DIM_GEO_CODE_M49,DIM_GEO_CODE_TYPE,DIM_PUBLISH_STATE_CODE,IND_NAME,GEO_NAME_SHORT,DIM_AMR_GLASS_AWARE,RATE_PER_100_N
19E688DGLASSAMC_AWARE,GLASSAMC_AWARE,19E688D,GLASSAMC_AWARE,2020,YEAR,752,COUNTRY,PUBLISHED,Antibiotic consumption pattern,Sweden,ACCESS,74.3598
19E688DGLASSAMC_AWARE,GLASSAMC_AWARE,19E688D,GLASSAMC_AWARE,2020,YEAR,756,COUNTRY,PUBLISHED,Antibiotic consumption pattern,Switzerland,ACCESS,63.8697
19E688DGLASSAMC_AWARE,GLASSAMC_AWARE,19E688D,GLASSAMC_AWARE,2020,YEAR,762,COUNTRY,PUBLISHED,Antibiotic consumption pattern,Tajikistan,ACCESS,40.5007
19E688DGLASSAMC_AWARE,GLASSAMC_AWARE,19E688D,GLASSAMC_AWARE,2020,YEAR,788,COUNTRY,PUBLISHED,Antibiotic consumption pattern,Tunisia,ACCESS,71.3338
19E688DGLASSAMC_AWARE,GLASSAMC_AWARE,19E688D,GLASSAMC_AWARE,2020,YEAR,804,COUNTRY,PUBLISHED,Antibiotic consumption pattern,Ukraine,ACCESS,18.6748
19E688DGLASSAMC_AWARE,GLASSAMC_AWARE,19E688D,GLASSAMC_AWARE,2020,YEAR,818,COUNTRY,PUBLISHED,Antibiotic consumption pattern,Egypt,ACCESS,55.0916
19E688DGLASSAMC_AWARE,GLASSAMC_AWARE,19E688D,GLASSAMC_AWARE,2020,YEAR,826,COUNTRY,PUBLISHED,Antibiotic consumption pattern,United Kingdom of Great Britain and Northern Ireland,ACCESS,68.176
19E688DGLASSAMC_AWARE,GLASSAMC_AWARE,19E688D,GLASSAMC_AWARE,2020,YEAR,834,COUNTRY,PUBLISHED,Antibiotic consumption pattern,United Republic of Tanzania,ACCESS,59.2397
19E688DGLASSAMC_AWARE,GLASSAMC_AWARE,19E688D,GLASSAMC_AWARE,2021,YEAR,40,COUNTRY,PUBLISHED,Antibiotic consumption pattern,Austria,ACCESS,60.4387
19E688DGLASSAMC_AWARE,GLASSAMC_AWARE,19E688D,GLASSAMC_AWARE,2021,YEAR,50,COUNTRY,PUBLISHED,Antibiotic consumption pattern,Bangladesh,ACCESS,26.8279
19E688DGLASSAMC_AWARE,GLASSAMC_AWARE,19E688D,GLASSAMC_AWARE,2021,YEAR,51,COUNTRY,PUBLISHED,Antibiotic consumption pattern,Armenia,ACCESS,49.8306
19E688DGLASSAMC_AWARE,GLASSAMC_AWARE,19E688D,GLASSAMC_AWARE,2021,YEAR,56,COUNTRY,PUBLISHED,Antibiotic consumption pattern,Belgium,ACCESS,68.5585
19E688DGLASSAMC_AWARE,GLASSAMC_AWARE,19E688D,GLASSAMC_AWARE,2021,YEAR,64,COUNTRY,PUBLISHED,Antibiotic consumption pattern,Bhutan,ACCESS,86.7991
19E688DGLASSAMC_AWARE,GLASSAMC_AWARE,19E688D,GLASSAMC_AWARE,2021,YEAR,112,COUNTRY,PUBLISHED,Antibiotic consumption pattern,Belarus,ACCESS,65.9051
19E688DGLASSAMC_AWARE,GLASSAMC_AWARE,19E688D,GLASSAMC_AWARE,2021,YEAR,170,COUNTRY,PUBLISHED,Antibiotic consumption pattern,Colombia,ACCESS,66.308
19E688DGLASSAMC_AWARE,GLASSAMC_AWARE,19E688D,GLASSAMC_AWARE,2021,YEAR,191,COUNTRY,PUBLISHED,Antibiotic consumption pattern,Croatia,ACCESS,60.4257
19E688DGLASSAMC_AWARE,GLASSAMC_AWARE,19E688D,GLASSAMC_AWARE,2021,YEAR,196,COUNTRY,PUBLISHED,Antibiotic consumption pattern,Cyprus,ACCESS,48.4756
19E688DGLASSAMC_AWARE,GLASSAMC_AWARE,19E688D,GLASSAMC_AWARE,2021,YEAR,203,COUNTRY,PUBLISHED,Antibiotic consumption pattern,Czechia,ACCESS,61.612
19E688DGLASSAMC_AWARE,GLASSAMC_AWARE,19E688D,GLASSAMC_AWARE,2021,YEAR,204,COUNTRY,PUBLISHED,Antibiotic consumption pattern,Benin,ACCESS,71.7556
19E688DGLASSAMC_AWARE,GLASSAMC_AWARE,19E688D,GLASSAMC_AWARE,2016,YEAR,578,COUNTRY,PUBLISHED,Antibiotic consumption pattern,Norway,ACCESS,79.0853
