IND_ID,IND_CODE,IND_UUID,IND_PER_CODE,DIM_TIME,DIM_TIME_TYPE,DIM_GEO_CODE_M49,DIM_GEO_CODE_TYPE,DIM_PUBLISH_STATE_CODE,IND_NAME,GEO_NAME_SHORT,RATE_PER_100_N
5DD9606AMR_INFECT_MRSA,AMR_INFECT_MRSA,5DD9606,AMR_INFECT_MRSA,2019,YEAR,422,COUNTRY,PUBLISHED,MRSA infections,Lebanon,25.0
5DD9606AMR_INFECT_MRSA,AMR_INFECT_MRSA,5DD9606,AMR_INFECT_MRSA,2019,YEAR,428,COUNTRY,PUBLISHED,MRSA infections,Latvia,12.28
5DD9606AMR_INFECT_MRSA,AMR_INFECT_MRSA,5DD9606,AMR_INFECT_MRSA,2019,YEAR,440,COUNTRY,PUBLISHED,MRSA infections,Lithuania,9.3
5DD9606AMR_INFECT_MRSA,AMR_INFECT_MRSA,5DD9606,AMR_INFECT_MRSA,2019,YEAR,442,COUNTRY,PUBLISHED,MRSA infections,Luxembourg,6.22
5DD9606AMR_INFECT_MRSA,AMR_INFECT_MRSA,5DD9606,AMR_INFECT_MRSA,2019,YEAR,450,COUNTRY,PUBLISHED,MRSA infections,Madagascar,33.33
5DD9606AMR_INFECT_MRSA,AMR_INFECT_MRSA,5DD9606,AMR_INFECT_MRSA,2019,YEAR,458,COUNTRY,PUBLISHED,MRSA infections,Malaysia,19.53
5DD9606AMR_INFECT_MRSA,AMR_INFECT_MRSA,5DD9606,AMR_INFECT_MRSA,2019,YEAR,466,COUNTRY,PUBLISHED,MRSA infections,Mali,2.5
5DD9606AMR_INFECT_MRSA,AMR_INFECT_MRSA,5DD9606,AMR_INFECT_MRSA,2019,YEAR,470,COUNTRY,PUBLISHED,MRSA infections,Malta,22.08
5DD9606AMR_INFECT_MRSA,AMR_INFECT_MRSA,5DD9606,AMR_INFECT_MRSA,2019,YEAR,508,COUNTRY,PUBLISHED,MRSA infections,Mozambique,10.34
5DD9606AMR_INFECT_MRSA,AMR_INFECT_MRSA,5DD9606,AMR_INFECT_MRSA,2017,YEAR,458,COUNTRY,PUBLISHED,MRSA infections,Malaysia,21.9
5DD9606AMR_INFECT_MRSA,AMR_INFECT_MRSA,5DD9606,AMR_INFECT_MRSA,2017,YEAR,470,COUNTRY,PUBLISHED,MRSA infections,Malta,43.3
5DD9606AMR_INFECT_MRSA,AMR_INFECT_MRSA,5DD9606,AMR_INFECT_MRSA,2017,YEAR,512,COUNTRY,PUBLISHED,MRSA infections,Oman,41.1
5DD9606AMR_INFECT_MRSA,AMR_INFECT_MRSA,5DD9606,AMR_INFECT_MRSA,2017,YEAR,528,COUNTRY,PUBLISHED,MRSA infections,Netherlands (Kingdom of the),1.5
5DD9606AMR_INFECT_MRSA,AMR_INFECT_MRSA,5DD9606,AMR_INFECT_MRSA,2017,YEAR,566,COUNTRY,PUBLISHED,MRSA infections,Nigeria,62.8
5DD9606AMR_INFECT_MRSA,AMR_INFECT_MRSA,5DD9606,AMR_INFECT_MRSA,2017,YEAR,578,COUNTRY,PUBLISHED,MRSA infections,Norway,1.0
5DD9606AMR_INFECT_MRSA,AMR_INFECT_MRSA,5DD9606,AMR_INFECT_MRSA,2017,YEAR,586,COUNTRY,PUBLISHED,MRSA infections,Pakistan,62.7
5DD9606AMR_INFECT_MRSA,AMR_INFECT_MRSA,5DD9606,AMR_INFECT_MRSA,2017,YEAR,608,COUNTRY,PUBLISHED,MRSA infections,Philippines,58.1
5DD9606AMR_INFECT_MRSA,AMR_INFECT_MRSA,5DD9606,AMR_INFECT_MRSA,2017,YEAR,616,COUNTRY,PUBLISHED,MRSA infections,Poland,15.2
5DD9606AMR_INFECT_MRSA,AMR_INFECT_MRSA,5DD9606,AMR_INFECT_MRSA,2017,YEAR,643,COUNTRY,PUBLISHED,MRSA infections,Russian Federation,16.5
5DD9606AMR_INFECT_MRSA,AMR_INFECT_MRSA,5DD9606,AMR_INFECT_MRSA,2017,YEAR,682,COUNTRY,PUBLISHED,MRSA infections,Saudi Arabia,33.1
5DD9606AMR_INFECT_MRSA,AMR_INFECT_MRSA,5DD9606,AMR_INFECT_MRSA,2017,YEAR,710,COUNTRY,PUBLISHED,MRSA infections,South Africa,23.8
5DD9606AMR_INFECT_MRSA,AMR_INFECT_MRSA,5DD9606,AMR_INFECT_MRSA,2017,YEAR,752,COUNTRY,PUBLISHED,MRSA infections,Sweden,1.2
5DD9606AMR_INFECT_MRSA,AMR_INFECT_MRSA,5DD9606,AMR_INFECT_MRSA,2017,YEAR,756,COUNTRY,PUBLISHED,MRSA infections,Switzerland,4.7
5DD9606AMR_INFECT_MRSA,AMR_INFECT_MRSA,5DD9606,AMR_INFECT_MRSA,2017,YEAR,764,COUNTRY,PUBLISHED,MRSA infections,Thailand,16.7
5DD9606AMR_INFECT_MRSA,AMR_INFECT_MRSA,5DD9606,AMR_INFECT_MRSA,2017,YEAR,784,COUNTRY,PUBLISHED,MRSA infections,United Arab Emirates,34.1
5DD9606AMR_INFECT_MRSA,AMR_INFECT_MRSA,5DD9606,AMR_INFECT_MRSA,2017,YEAR,788,COUNTRY,PUBLISHED,MRSA infections,Tunisia,21.6
5DD9606AMR_INFECT_MRSA,AMR_INFECT_MRSA,5DD9606,AMR_INFECT_MRSA,2017,YEAR,800,COUNTRY,PUBLISHED,MRSA infections,Uganda,13.0
5DD9606AMR_INFECT_MRSA,AMR_INFECT_MRSA,5DD9606,AMR_INFECT_MRSA,2017,YEAR,807,COUNTRY,PUBLISHED,MRSA infections,North Macedonia,54.4
5DD9606AMR_INFECT_MRSA,AMR_INFECT_MRSA,5DD9606,AMR_INFECT_MRSA,2017,YEAR,826,COUNTRY,PUBLISHED,MRSA infections,United Kingdom of Great Britain and Northern Ireland,6.9
